scale,sample,group,word_length_dist,function_word_freq,char_ngrams,word_bigrams,sentence_stats,punct_dist,ttr,hapax_ratio,weighted_total
1k,蓝/孤独者__chunk007,蓝,0.987035,0.958949,0.898081,0.779819,0.970310,0.993017,0.913815,0.852195,0.928240
1k,蓝/孤独者__chunk008,蓝,0.997963,0.923125,0.879845,0.711486,0.850611,0.993399,0.986783,0.955930,0.907995
1k,蓝/幸福的家庭__chunk001,蓝,0.995954,0.917254,0.851795,0.769603,0.879228,0.945809,0.988412,0.996317,0.911253
1k,蓝/幸福的家庭__chunk002,蓝,0.997387,0.948359,0.865848,0.705609,0.956378,0.986467,0.999650,0.972232,0.925565
1k,蓝/幸福的家庭__chunk003,蓝,0.992100,0.857741,0.831781,0.563521,0.961421,0.990528,0.895372,0.876850,0.860751
1k,蓝/故乡__chunk001,蓝,0.997270,0.956313,0.885717,0.825053,0.797103,0.996108,0.985971,0.976129,0.931195
1k,蓝/故乡__chunk002,蓝,0.990866,0.904597,0.883983,0.696607,0.873015,0.993750,0.927564,0.880169,0.892285
1k,蓝/故乡__chunk003,蓝,0.997252,0.927503,0.897526,0.694150,0.889777,0.997441,0.972930,0.984440,0.912084
1k,蓝/明天__chunk001,蓝,0.992601,0.933146,0.869261,0.661268,0.916062,0.996805,0.989551,0.992656,0.911572
1k,蓝/明天__chunk002,蓝,0.992637,0.940569,0.911460,0.822164,0.868783,0.996915,0.992553,0.974022,0.934704
